datetime,regime_state_a
2024-02-07 09:20:00,-1
2024-02-07 09:21:00,-1
2024-02-07 09:23:00,-1
2024-02-07 09:24:00,-1
2024-02-07 09:33:00,-1
2024-02-07 09:34:00,-1
2024-02-07 09:35:00,-1
2024-02-07 09:36:00,-1
2024-02-07 09:37:00,-1
2024-02-07 09:38:00,-1
2024-02-07 09:40:00,-1
2024-02-07 09:42:00,-1
2024-02-07 09:43:00,-1
2024-02-07 09:47:00,-1
2024-02-07 09:49:00,-1
2024-02-07 09:50:00,-1
2024-02-07 09:52:00,-1
2024-02-07 09:56:00,-1
2024-02-07 09:57:00,-1
2024-02-07 09:58:00,-1
2024-02-07 10:01:00,-1
2024-02-07 10:05:00,-1
2024-02-07 10:06:00,-1
2024-02-07 10:11:00,-1
2024-02-07 10:12:00,-1
2024-02-07 10:17:00,-1
2024-02-07 10:22:00,0
2024-02-07 10:32:00,0
2024-02-07 10:33:00,1
2024-02-07 10:34:00,1
2024-02-07 10:36:00,1
2024-02-07 10:38:00,1
2024-02-07 10:40:00,1
2024-02-07 10:42:00,1
2024-02-07 10:46:00,0
2024-02-07 11:12:00,0
2024-02-07 11:16:00,-1
2024-02-07 11:19:00,-1
2024-02-07 11:28:00,-1
2024-02-07 11:29:00,0
2024-02-07 11:32:00,-1
2024-02-07 11:35:00,0
2024-02-07 11:36:00,0
2024-02-07 11:39:00,1
2024-02-07 11:48:00,1
2024-02-07 11:51:00,1
2024-02-07 11:55:00,1
2024-02-07 12:02:00,1
2024-02-07 12:03:00,1
2024-02-07 12:04:00,1
2024-02-07 12:05:00,1
2024-02-07 12:06:00,1
2024-02-07 12:07:00,1
2024-02-07 12:08:00,1
2024-02-07 12:11:00,1
2024-02-07 12:12:00,1
2024-02-07 12:13:00,0
2024-02-07 12:17:00,1
2024-02-07 12:18:00,1
2024-02-07 12:21:00,1
2024-02-07 12:24:00,1
2024-02-07 12:25:00,1
2024-02-07 12:28:00,1
2024-02-07 12:34:00,1
2024-02-07 12:41:00,1
2024-02-07 12:42:00,1
2024-02-07 12:49:00,1
2024-02-07 12:53:00,1
2024-02-07 13:02:00,1
2024-02-07 13:03:00,0
2024-02-07 13:09:00,1
2024-02-07 13:10:00,1
2024-02-07 13:17:00,1
2024-02-07 13:20:00,1
2024-02-07 13:21:00,0
2024-02-07 13:36:00,1
2024-02-07 13:41:00,1
2024-02-07 13:45:00,0
2024-02-07 13:52:00,1
2024-02-07 13:57:00,1
2024-02-07 13:59:00,1
2024-02-07 14:17:00,1
2024-02-07 15:14:00,0
2024-02-07 15:15:00,1
2024-02-07 15:17:00,1
2024-02-07 15:18:00,1
2024-02-07 15:19:00,0
2024-02-07 15:20:00,-1
2024-02-07 15:33:00,-1
2024-02-07 15:36:00,-1
2024-02-07 15:42:00,-1
2024-02-07 15:45:00,-1
2024-02-07 15:49:00,-1
2024-02-07 15:55:00,-1
2024-02-08 00:00:00,-1
2024-02-08 00:01:00,-1
2024-02-08 00:14:00,-1
2024-02-08 00:15:00,-1
2024-02-08 00:16:00,-1
2024-02-08 00:18:00,-1
2024-02-08 00:20:00,1
2024-02-08 00:42:00,0
2024-02-08 00:43:00,1
2024-02-08 01:05:00,1
2024-02-08 01:10:00,1
2024-02-08 01:13:00,1
2024-02-08 01:22:00,1
2024-02-08 01:24:00,1
2024-02-08 01:28:00,1
2024-02-08 01:29:00,1
2024-02-08 01:31:00,1
2024-02-08 01:32:00,1
2024-02-08 01:33:00,1
2024-02-08 01:34:00,1
2024-02-08 01:37:00,0
2024-02-08 02:00:00,1
2024-02-08 02:04:00,1
2024-02-08 02:07:00,1
2024-02-08 02:16:00,1
2024-02-08 02:21:00,1
2024-02-08 02:22:00,1
2024-02-08 02:29:00,1
2024-02-08 02:41:00,1
2024-02-08 03:00:00,1
2024-02-08 04:03:00,1
2024-02-08 04:33:00,1
2024-02-08 04:34:00,1
2024-02-08 04:36:00,1
2024-02-08 04:47:00,1
2024-02-08 04:51:00,1
2024-02-08 04:55:00,1
2024-02-08 04:57:00,1
2024-02-08 04:58:00,1
2024-02-08 05:07:00,1
2024-02-08 05:24:00,1
2024-02-08 05:25:00,1
2024-02-08 05:28:00,1
2024-02-08 05:29:00,1
2024-02-08 05:39:00,1
2024-02-08 05:44:00,1
2024-02-08 05:48:00,1
2024-02-08 06:14:00,1
2024-02-08 06:18:00,1
2024-02-08 06:26:00,1
2024-02-08 06:32:00,1
2024-02-08 06:33:00,1
2024-02-08 06:40:00,1
2024-02-08 06:51:00,1
2024-02-08 06:55:00,1
2024-02-08 07:05:00,1
2024-02-08 07:13:00,1
2024-02-08 07:17:00,1
2024-02-08 07:20:00,1
2024-02-08 07:26:00,1
2024-02-08 07:29:00,1
2024-02-08 07:30:00,1
2024-02-08 07:31:00,1
2024-02-08 07:33:00,1
2024-02-08 07:35:00,1
2024-02-08 07:36:00,1
2024-02-08 07:37:00,1
2024-02-08 07:38:00,1
2024-02-08 07:39:00,1
2024-02-08 07:40:00,1
2024-02-08 07:43:00,1
2024-02-08 07:44:00,0
2024-02-08 07:45:00,0
2024-02-08 07:48:00,0
2024-02-08 07:49:00,1
2024-02-08 07:50:00,1
2024-02-08 07:51:00,1
2024-02-08 07:52:00,1
2024-02-08 07:55:00,1
2024-02-08 07:56:00,1
2024-02-08 08:07:00,1
2024-02-08 08:10:00,1
2024-02-08 08:11:00,1
2024-02-08 08:12:00,1
2024-02-08 08:21:00,1
2024-02-08 08:27:00,1
2024-02-08 08:29:00,1
2024-02-08 08:39:00,1
2024-02-08 08:40:00,1
2024-02-08 08:44:00,1
2024-02-08 08:45:00,1
2024-02-08 09:08:00,1
